отчёт анализа bdf-шрифта
шрифт: -xos4-Terminus-Bold-R-Normal--16-160-72-72-C-80-ISO10646-1
глифов: 891
аномалий: 606
предложений замены: 606


описание метрик:
readability  — читаемость глифа, допустимо: 0.400 <= value <= 1.0
proportion   — отношение ширины bitmap к высоте, используется как справочная метрика
density      — доля закрашенных пикселей, допустимо: 0.050 <= value <= 0.850
distinctness — различимость относительно ближайших отличающихся глифов, допустимо: 0.050 <= value <= 1.0


метрики глифов:
glyph                | code  | readability | proportion | density | distinctness
ograve               | 242   | distinctness: 0.031 < 0.050                                                    
oacute               | 243   | distinctness: 0.031 < 0.050                                                    
ocircumflex          | 244   | distinctness: 0.023 < 0.050                                                    
otilde               | 245   | distinctness: 0.031 < 0.050                                                    
odieresis            | 246   | distinctness: 0.023 < 0.050                                                    
divide               | 247   | readability: 0.356 < 0.400                                                     
ugrave               | 249   | distinctness: 0.031 < 0.050                                                    
uacute               | 250   | distinctness: 0.008 < 0.050                                                    
ucircumflex          | 251   | distinctness: 0.023 < 0.050                                                    
udieresis            | 252   | distinctness: 0.008 < 0.050                                                    
yacute               | 253   | distinctness: 0.031 < 0.050                                                    
thorn                | 254   | distinctness: 0.047 < 0.050                                                    
ydieresis            | 255   | distinctness: 0.023 < 0.050                                                    
Amacron              | 256   | distinctness: 0.039 < 0.050                                                    
amacron              | 257   | distinctness: 0.031 < 0.050                                                    
Abreve               | 258   | distinctness: 0.023 < 0.050                                                    
abreve               | 259   | distinctness: 0.023 < 0.050                                                    
Cacute               | 262   | distinctness: 0.016 < 0.050                                                    
cacute               | 263   | distinctness: 0.016 < 0.050                                                    
Ccircumflex          | 264   | distinctness: 0.039 < 0.050                                                    
ccircumflex          | 265   | distinctness: 0.039 < 0.050                                                    
Cdotaccent           | 266   | distinctness: 0.016 < 0.050                                                    
cdotaccent           | 267   | distinctness: 0.016 < 0.050                                                    
Ccaron               | 268   | distinctness: 0.039 < 0.050                                                    
ccaron               | 269   | distinctness: 0.039 < 0.050                                                    
dcroat               | 273   | distinctness: 0.023 < 0.050                                                    
Emacron              | 274   | distinctness: 0.039 < 0.050                                                    
emacron              | 275   | distinctness: 0.031 < 0.050                                                    
Ebreve               | 276   | distinctness: 0.023 < 0.050                                                    
ebreve               | 277   | distinctness: 0.023 < 0.050                                                    
Edotaccent           | 278   | distinctness: 0.016 < 0.050                                                    
edotaccent           | 279   | distinctness: 0.016 < 0.050                                                    
eogonek              | 281   | distinctness: 0.039 < 0.050                                                    
Ecaron               | 282   | distinctness: 0.023 < 0.050                                                    
ecaron               | 283   | distinctness: 0.023 < 0.050                                                    
Gcircumflex          | 284   | distinctness: 0.031 < 0.050                                                    
gcircumflex          | 285   | distinctness: 0.039 < 0.050                                                    
Gbreve               | 286   | distinctness: 0.031 < 0.050                                                    
gbreve               | 287   | distinctness: 0.031 < 0.050                                                    
Gdotaccent           | 288   | distinctness: 0.039 < 0.050                                                    
gdotaccent           | 289   | distinctness: 0.016 < 0.050                                                    
gcommaaccent         | 291   | distinctness: 0.016 < 0.050                                                    
Hcircumflex          | 292   | distinctness: 0.039 < 0.050                                                    
Itilde               | 296   | distinctness: 0.047 < 0.050                                                    
itilde               | 297   | distinctness: 0.047 < 0.050                                                    
Imacron              | 298   | distinctness: 0.047 < 0.050                                                    
imacron              | 299   | distinctness: 0.031 < 0.050                                                    
Ibreve               | 300   | distinctness: 0.008 < 0.050                                                    
ibreve               | 301   | distinctness: 0.023 < 0.050                                                    
Iogonek              | 302   | distinctness: 0.039 < 0.050                                                    
iogonek              | 303   | distinctness: 0.039 < 0.050                                                    
Idotaccent           | 304   | distinctness: 0.016 < 0.050                                                    
dotlessi             | 305   | distinctness: 0.031 < 0.050                                                    
jcircumflex          | 309   | distinctness: 0.039 < 0.050                                                    
kgreenlandic         | 312   | distinctness: 0.031 < 0.050                                                    
Lacute               | 313   | distinctness: 0.047 < 0.050                                                    
lacute               | 314   | distinctness: 0.008 < 0.050                                                    
lcommaaccent         | 316   | distinctness: 0.023 < 0.050                                                    
lcaron               | 318   | distinctness: 0.008 < 0.050                                                    
Ldot                 | 319   | distinctness: 0.031 < 0.050                                                    
ldot                 | 320   | distinctness: 0.031 < 0.050                                                    
lslash               | 322   | distinctness: 0.016 < 0.050                                                    
Nacute               | 323   | distinctness: 0.031 < 0.050                                                    
nacute               | 324   | distinctness: 0.031 < 0.050                                                    
Ncaron               | 327   | distinctness: 0.039 < 0.050                                                    
ncaron               | 328   | distinctness: 0.039 < 0.050                                                    
napostrophe          | 329   | distinctness: 0.047 < 0.050                                                    
eng                  | 331   | distinctness: 0.023 < 0.050                                                    
Omacron              | 332   | distinctness: 0.039 < 0.050                                                    
omacron              | 333   | distinctness: 0.031 < 0.050                                                    
Obreve               | 334   | distinctness: 0.023 < 0.050                                                    
obreve               | 335   | distinctness: 0.023 < 0.050                                                    
Ohungarumlaut        | 336   | distinctness: 0.023 < 0.050                                                    
ohungarumlaut        | 337   | distinctness: 0.023 < 0.050                                                    
OE                   | 338   | distinctness: 0.039 < 0.050                                                    
oe                   | 339   | distinctness: 0.047 < 0.050                                                    
Racute               | 340   | distinctness: 0.039 < 0.050                                                    
