отчёт анализа bdf-шрифта
шрифт: -xos4-Terminus-Bold-R-Normal--16-160-72-72-C-80-ISO10646-1
глифов: 891
аномалий: 606
предложений замены: 606


описание метрик:
readability  — читаемость глифа, допустимо: 0.400 <= value <= 1.0
proportion   — отношение ширины bitmap к высоте, используется как справочная метрика
density      — доля закрашенных пикселей, допустимо: 0.050 <= value <= 0.850
distinctness — различимость относительно ближайших отличающихся глифов, допустимо: 0.050 <= value <= 1.0


метрики глифов:
glyph                | code  | readability | proportion | density | distinctness
icircumflex          | 238   | 0.567       | 0.500      | 0.188   | 0.023       
idieresis            | 239   | 0.567       | 0.500      | 0.195   | 0.023       
eth                  | 240   | 0.841       | 0.500      | 0.297   | 0.031       
ntilde               | 241   | 0.774       | 0.500      | 0.312   | 0.047       
ograve               | 242   | 0.760       | 0.500      | 0.266   | 0.031       
oacute               | 243   | 0.760       | 0.500      | 0.266   | 0.031       
ocircumflex          | 244   | 0.765       | 0.500      | 0.289   | 0.023       
otilde               | 245   | 0.774       | 0.500      | 0.312   | 0.031       
odieresis            | 246   | 0.767       | 0.500      | 0.297   | 0.023       
divide               | 247   | 0.356       | 0.500      | 0.109   | 0.062       
oslash               | 248   | 0.799       | 0.500      | 0.281   | 0.062       
ugrave               | 249   | 0.760       | 0.500      | 0.266   | 0.031       
uacute               | 250   | 0.760       | 0.500      | 0.266   | 0.008       
ucircumflex          | 251   | 0.765       | 0.500      | 0.289   | 0.023       
udieresis            | 252   | 0.767       | 0.500      | 0.297   | 0.008       
yacute               | 253   | 0.892       | 0.500      | 0.336   | 0.031       
thorn                | 254   | 0.934       | 0.500      | 0.344   | 0.047       
ydieresis            | 255   | 0.861       | 0.500      | 0.367   | 0.023       
Amacron              | 256   | 0.853       | 0.500      | 0.383   | 0.039       
amacron              | 257   | 0.761       | 0.500      | 0.281   | 0.031       
Abreve               | 258   | 0.857       | 0.500      | 0.367   | 0.023       
abreve               | 259   | 0.777       | 0.500      | 0.297   | 0.023       
Aogonek              | 260   | 0.900       | 0.500      | 0.398   | 0.086       
aogonek              | 261   | 0.857       | 0.500      | 0.297   | 0.078       
Cacute               | 262   | 0.804       | 0.500      | 0.281   | 0.016       
cacute               | 263   | 0.691       | 0.500      | 0.219   | 0.016       
Ccircumflex          | 264   | 0.810       | 0.500      | 0.305   | 0.039       
ccircumflex          | 265   | 0.692       | 0.500      | 0.242   | 0.039       
Cdotaccent           | 266   | 0.804       | 0.500      | 0.281   | 0.016       
cdotaccent           | 267   | 0.691       | 0.500      | 0.219   | 0.016       
Ccaron               | 268   | 0.810       | 0.500      | 0.305   | 0.039       
ccaron               | 269   | 0.692       | 0.500      | 0.242   | 0.039       
Dcaron               | 270   | 0.875       | 0.500      | 0.352   | 0.062       
dcaron               | 271   | 0.929       | 0.500      | 0.352   | 0.055       
Dcroat               | 272   | 0.923       | 0.500      | 0.352   | 0.117       
dcroat               | 273   | 0.887       | 0.500      | 0.320   | 0.023       
Emacron              | 274   | 0.817       | 0.500      | 0.297   | 0.039       
emacron              | 275   | 0.738       | 0.500      | 0.266   | 0.031       
Ebreve               | 276   | 0.798       | 0.500      | 0.297   | 0.023       
ebreve               | 277   | 0.753       | 0.500      | 0.281   | 0.023       
Edotaccent           | 278   | 0.793       | 0.500      | 0.273   | 0.016       
edotaccent           | 279   | 0.748       | 0.500      | 0.258   | 0.016       
Eogonek              | 280   | 0.914       | 0.500      | 0.312   | 0.070       
eogonek              | 281   | 0.821       | 0.500      | 0.281   | 0.039       
Ecaron               | 282   | 0.798       | 0.500      | 0.297   | 0.023       
ecaron               | 283   | 0.753       | 0.500      | 0.281   | 0.023       
Gcircumflex          | 284   | 0.875       | 0.500      | 0.352   | 0.031       
gcircumflex          | 285   | 0.859       | 0.500      | 0.375   | 0.039       
Gbreve               | 286   | 0.875       | 0.500      | 0.352   | 0.031       
gbreve               | 287   | 0.859       | 0.500      | 0.375   | 0.031       
Gdotaccent           | 288   | 0.870       | 0.500      | 0.328   | 0.039       
gdotaccent           | 289   | 0.909       | 0.500      | 0.352   | 0.016       
Gcommaaccent         | 290   | 0.895       | 0.500      | 0.359   | 0.078       
gcommaaccent         | 291   | 0.886       | 0.500      | 0.367   | 0.016       
Hcircumflex          | 292   | 0.866       | 0.500      | 0.359   | 0.039       
hcircumflex          | 293   | 0.913       | 0.500      | 0.336   | 0.055       
Hbar                 | 294   | 0.913       | 0.500      | 0.359   | 0.094       
hbar                 | 295   | 0.877       | 0.500      | 0.312   | 0.055       
Itilde               | 296   | 0.693       | 0.500      | 0.250   | 0.047       
itilde               | 297   | 0.601       | 0.500      | 0.211   | 0.047       
Imacron              | 298   | 0.694       | 0.500      | 0.234   | 0.047       
imacron              | 299   | 0.562       | 0.500      | 0.172   | 0.031       
Ibreve               | 300   | 0.651       | 0.500      | 0.227   | 0.008       
ibreve               | 301   | 0.567       | 0.500      | 0.188   | 0.023       
Iogonek              | 302   | 0.743       | 0.500      | 0.242   | 0.039       
iogonek              | 303   | 0.663       | 0.500      | 0.219   | 0.039       
Idotaccent           | 304   | 0.632       | 0.500      | 0.203   | 0.016       
dotlessi             | 305   | 0.565       | 0.500      | 0.133   | 0.031       
IJ                   | 306   | 0.903       | 0.500      | 0.367   | 0.062       
ij                   | 307   | 0.861       | 0.500      | 0.367   | 0.109       
Jcircumflex          | 308   | 0.738       | 0.500      | 0.258   | 0.102       
jcircumflex          | 309   | 0.762       | 0.500      | 0.266   | 0.039       
Kcommaaccent         | 310   | 0.895       | 0.500      | 0.359   | 0.055       
kcommaaccent         | 311   | 0.852       | 0.500      | 0.312   | 0.055       
kgreenlandic         | 312   | 0.708       | 0.500      | 0.219   | 0.031       
Lacute               | 313   | 0.701       | 0.500      | 0.211   | 0.047       
lacute               | 314   | 0.620       | 0.500      | 0.195   | 0.008       
Lcommaaccent         | 315   | 0.747       | 0.500      | 0.242   | 0.094       
lcommaaccent         | 316   | 0.656       | 0.500      | 0.227   | 0.023       
Lcaron               | 317   | 0.803       | 0.500      | 0.250   | 0.055       
lcaron               | 318   | 0.638       | 0.500      | 0.219   | 0.008       
Ldot                 | 319   | 0.702       | 0.500      | 0.227   | 0.031       
ldot                 | 320   | 0.663       | 0.500      | 0.211   | 0.031       
Lslash               | 321   | 0.746       | 0.500      | 0.211   | 0.094       
lslash               | 322   | 0.664       | 0.500      | 0.195   | 0.016       
Nacute               | 323   | 0.879       | 0.500      | 0.391   | 0.031       
nacute               | 324   | 0.760       | 0.500      | 0.266   | 0.031       
Ncommaaccent         | 325   | 0.840       | 0.500      | 0.406   | 0.078       
ncommaaccent         | 326   | 0.774       | 0.500      | 0.281   | 0.078       
Ncaron               | 327   | 0.849       | 0.500      | 0.414   | 0.039       
ncaron               | 328   | 0.765       | 0.500      | 0.289   | 0.039       
napostrophe          | 329   | 0.774       | 0.500      | 0.281   | 0.047       
Eng                  | 330   | 0.860       | 0.500      | 0.414   | 0.055       
eng                  | 331   | 0.831       | 0.500      | 0.289   | 0.023       
Omacron              | 332   | 0.872       | 0.500      | 0.367   | 0.039       
omacron              | 333   | 0.750       | 0.500      | 0.273   | 0.031       
Obreve               | 334   | 0.875       | 0.500      | 0.352   | 0.023       
obreve               | 335   | 0.765       | 0.500      | 0.289   | 0.023       
Ohungarumlaut        | 336   | 0.858       | 0.500      | 0.359   | 0.023       
ohungarumlaut        | 337   | 0.767       | 0.500      | 0.297   | 0.023       
OE                   | 338   | 0.893       | 0.500      | 0.375   | 0.039       
oe                   | 339   | 0.829       | 0.500      | 0.305   | 0.047       
Racute               | 340   | 0.891       | 0.500      | 0.344   | 0.039       
racute               | 341   | 0.654       | 0.500      | 0.195   | 0.031       
Rcommaaccent         | 342   | 0.859       | 0.500      | 0.391   | 0.094       
rcommaaccent         | 343   | 0.681       | 0.500      | 0.211   | 0.180       
Rcaron               | 344   | 0.857       | 0.500      | 0.367   | 0.039       
rcaron               | 345   | 0.653       | 0.500      | 0.219   | 0.039       
Sacute               | 346   | 0.793       | 0.500      | 0.273   | 0.039       
sacute               | 347   | 0.702       | 0.500      | 0.227   | 0.023       
Scircumflex          | 348   | 0.798       | 0.500      | 0.297   | 0.039       
scircumflex          | 349   | 0.704       | 0.500      | 0.250   | 0.047       
Scedilla             | 350   | 0.904       | 0.500      | 0.320   | 0.047       
scedilla             | 351   | 0.771       | 0.500      | 0.242   | 0.047       
Scaron               | 352   | 0.798       | 0.500      | 0.297   | 0.039       
scaron               | 353   | 0.704       | 0.500      | 0.250   | 0.023       
Tcedilla             | 354   | 0.834       | 0.500      | 0.250   | 0.047       
tcedilla             | 355   | 0.814       | 0.500      | 0.250   | 0.047       
Tcaron               | 356   | 0.732       | 0.500      | 0.242   | 0.102       
tcaron               | 357   | 0.714       | 0.500      | 0.242   | 0.070       
Tbar                 | 358   | 0.776       | 0.500      | 0.234   | 0.031       
tbar                 | 359   | 0.741       | 0.500      | 0.219   | 0.016       
Utilde               | 360   | 0.835       | 0.500      | 0.367   | 0.031       
utilde               | 361   | 0.774       | 0.500      | 0.312   | 0.031       
Umacron              | 362   | 0.881       | 0.500      | 0.359   | 0.031       
umacron              | 363   | 0.750       | 0.500      | 0.273   | 0.031       
Ubreve               | 364   | 0.899       | 0.500      | 0.375   | 0.031       
ubreve               | 365   | 0.765       | 0.500      | 0.289   | 0.023       
Uring                | 366   | 0.909       | 0.500      | 0.367   | 0.023       
uring                | 367   | 0.861       | 0.500      | 0.312   | 0.023       
Uhungarumlaut        | 368   | 0.867       | 0.500      | 0.352   | 0.023       
uhungarumlaut        | 369   | 0.767       | 0.500      | 0.297   | 0.023       
Uogonek              | 370   | 0.910       | 0.500      | 0.375   | 0.039       
uogonek              | 371   | 0.847       | 0.500      | 0.289   | 0.055       
Wcircumflex          | 372   | 0.858       | 0.500      | 0.383   | 0.086       
wcircumflex          | 373   | 0.869       | 0.500      | 0.352   | 0.055       
Ydieresis            | 376   | 0.784       | 0.500      | 0.281   | 0.047       
Zacute               | 377   | 0.759       | 0.500      | 0.250   | 0.016       
zacute               | 378   | 0.691       | 0.500      | 0.219   | 0.016       
Zdotaccent           | 379   | 0.759       | 0.500      | 0.250   | 0.016       
zdotaccent           | 380   | 0.691       | 0.500      | 0.219   | 0.016       
Zcaron               | 381   | 0.763       | 0.500      | 0.273   | 0.039       
zcaron               | 382   | 0.692       | 0.500      | 0.242   | 0.039       
longs                | 383   | 0.649       | 0.500      | 0.172   | 0.031       
uni0186              | 390   | 0.801       | 0.500      | 0.266   | 0.031       
uni018E              | 398   | 0.791       | 0.500      | 0.258   | 0.062       
Schwa                | 399   | 0.871       | 0.500      | 0.320   | 0.031       
uni0190              | 400   | 0.821       | 0.500      | 0.281   | 0.031       
florin               | 402   | 0.874       | 0.500      | 0.281   | 0.125       
uni019D              | 413   | 0.890       | 0.500      | 0.406   | 0.172       
uni019E              | 414   | 0.821       | 0.500      | 0.281   | 0.023       
Ezh                  | 439   | 0.801       | 0.500      | 0.266   | 0.094       
Scommaaccent         | 536   | 0.864       | 0.500      | 0.320   | 0.047       
scommaaccent         | 537   | 0.714       | 0.500      | 0.242   | 0.047       
Tcommaaccent         | 538   | 0.781       | 0.500      | 0.250   | 0.047       
tcommaaccent         | 539   | 0.759       | 0.500      | 0.250   | 0.047       
